Number of documents: 1001

Word                                                                  Frequency
19064                                                                 2
19067                                                                 2
19066                                                                 2
19069                                                                 2
19068                                                                 2
micro                                                                 1
007992                                                                1
repeating                                                             2
dopplershiftstereo                                                    1
sterling                                                              1
exons                                                                 1
katrina                                                               1
portland                                                              1
perry                                                                 1
009347                                                                1
18253                                                                 2
424343                                                                4
424342                                                                6
424340                                                                12
evaluation                                                            116
0107                                                                  2
totalistic                                                            1
0100                                                                  1
0102                                                                  1
19685                                                                 2
extraordinary                                                         1
19687                                                                 2
19686                                                                 2
19681                                                                 2
19680                                                                 2
19683                                                                 2
19682                                                                 2
shotnoise                                                             1
beginning                                                             21
19688                                                                 2
2662477                                                               1
2662475                                                               1
needing                                                               2
17302                                                                 2
17303                                                                 2
17300                                                                 2
17301                                                                 2
17306                                                                 2
17307                                                                 2
17304                                                                 2
17305                                                                 2
608978                                                                1
17308                                                                 2
17309                                                                 2
16800                                                                 2
9120                                                                  2
9121                                                                  6
9122                                                                  4
9123                                                                  2
10659                                                                 2
9125                                                                  5
9126                                                                  5
9127                                                                  6
9128                                                                  3
9129                                                                  3
10657                                                                 2
10656                                                                 2
10651                                                                 2
10650                                                                 2
10653                                                                 2
10652                                                                 2
009966                                                                1
tkaczmar                                                              1
7919                                                                  3
7918                                                                  4
7913                                                                  4
7912                                                                  4
7911                                                                  7
7910                                                                  2
7917                                                                  2
7916                                                                  3
009968                                                                1
7914                                                                  5
iarpa                                                                 1
notepad                                                               2
20832                                                                 2
20833                                                                 2
20830                                                                 2
20831                                                                 2
20836                                                                 2
20837                                                                 2
20834                                                                 2
20835                                                                 2
chedule                                                               2
20838                                                                 2
20839                                                                 2
too                                                                   87
gigabytes                                                             1
tom                                                                   4
852k                                                                  1
differentiate                                                         3
inconvenient                                                          1
cyclic                                                                7
wilder                                                                1
toe                                                                   1
debugging                                                             25
9334                                                                  3
giancarlo                                                             2
9337                                                                  3
oegeom3dquaternionrotate                                              1
5b3o3bo4bo4bo3bo7bo                                                   1
9336                                                                  6
humanplayer                                                           1
9331                                                                  4
9330                                                                  2
10406                                                                 4
16630                                                                 2
depending                                                             13
9332                                                                  3
hexagonal                                                             2
13108                                                                 2
13109                                                                 2
13104                                                                 2
13105                                                                 2
13106                                                                 2
13107                                                                 2
13100                                                                 2
13101                                                                 2
13102                                                                 2
13103                                                                 2
patterson                                                             3
programmers                                                           22
victim                                                                9
chart                                                                 3
lec7code                                                              3
pondering                                                             1
drysdale                                                              1
image069                                                              1
image068                                                              1
gopi                                                                  2
services                                                              38
image062                                                              1
image061                                                              1
image060                                                              1
image067                                                              1
image066                                                              1
image065                                                              1
image064                                                              1
clarifying                                                            3
3536                                                                  2
20309                                                                 2
20304                                                                 2
20305                                                                 2
20306                                                                 2
20307                                                                 2
20300                                                                 2
20301                                                                 2
20302                                                                 2
20303                                                                 2
getridenames                                                          1
incur                                                                 3
1cl                                                                   5
07107                                                                 2
lecture8                                                              3
converge                                                              9
touretzky                                                             1
115k                                                                  2
803895                                                                1
tuesdays                                                              2
vb2                                                                   4
merges                                                                2
lifelogging                                                           63
aperiodic                                                             7
courseload                                                            1
merged                                                                7
1317                                                                  3
1316                                                                  6
1315                                                                  3
1314                                                                  4
1313                                                                  5
1312                                                                  4
1311                                                                  4
1310                                                                  2
23767                                                                 2
23766                                                                 2
23765                                                                 2
683114517863                                                          1
23763                                                                 2
23762                                                                 2
1319                                                                  1
1318                                                                  4
breast                                                                67
lattices                                                              2
t92                                                                   1
01437                                                                 1
22177                                                                 2
scmove                                                                1
divisible                                                             7
22176                                                                 2
doubles                                                               4
restaurants                                                           7
keyless                                                               2
immigrants                                                            1
22173                                                                 2
06422                                                                 1
atomicly                                                              1
21737                                                                 2
geoff                                                                 4
8329                                                                  5
8328                                                                  8
8325                                                                  3
8324                                                                  2
8327                                                                  3
8326                                                                  3
8321                                                                  6
8320                                                                  2
8323                                                                  5
8322                                                                  4
9911                                                                  7
9910                                                                  2
9913                                                                  2
9912                                                                  3
9915                                                                  4
9914                                                                  4
expert                                                                7
9916                                                                  5
9919                                                                  4
9918                                                                  6
22178                                                                 2
icalp                                                                 1
01439                                                                 1
unkth                                                                 2
01438                                                                 1
concatenate                                                           2
legaltrademarks                                                       1
776985533742                                                          1
intimidated                                                           1
mailbox                                                               2
22418                                                                 2
22419                                                                 2
22416                                                                 2
22417                                                                 2
22414                                                                 2
22415                                                                 2
22412                                                                 2
22413                                                                 2
22410                                                                 2
22411                                                                 2
defunct                                                               1
grounded                                                              2
569795389829                                                          1
restaurant                                                            15
foreign                                                               3
quadruped                                                             3
9847                                                                  6
baltimore                                                             1
3611                                                                  4
21828                                                                 2
3613                                                                  3
3614                                                                  3
3615                                                                  1
3616                                                                  6
point                                                                 571
5458                                                                  2
3619                                                                  5
21820                                                                 2
21821                                                                 2
21826                                                                 2
21827                                                                 2
21824                                                                 2
21825                                                                 2
vinay                                                                 1
tennessee                                                             1
04668                                                                 2
asserted                                                              1
expensive                                                             13
resolveparent                                                         5
16832                                                                 2
bradner                                                               10
dfsvisn                                                               3
46958a27a7                                                            1
4027879                                                               1
1083212789                                                            1
491697605402                                                          1
elections                                                             6
24814                                                                 2
deferred                                                              2
24816                                                                 2
24817                                                                 2
24810                                                                 2
24811                                                                 2
24812                                                                 2
24813                                                                 2
24818                                                                 2
24819                                                                 2
09193                                                                 1
09197                                                                 1
perilously                                                            1
mkayala                                                               6
randomization                                                         2
seminar                                                               126
products                                                              95
nalinivtalk032416                                                     1
constitutive                                                          1
development                                                           849
04479                                                                 1
strips                                                                6
getblue                                                               16
04476                                                                 1
3231                                                                  4
stripe                                                                1
biglow                                                                2
3099                                                                  1
kamalpreet                                                            1
3278                                                                  3
18538                                                                 2
18539                                                                 2
healing                                                               4
withdraw                                                              2
550052106351                                                          1
18530                                                                 2
18531                                                                 3
18532                                                                 2
18533                                                                 2
18534                                                                 2
18535                                                                 2
18536                                                                 2
18537                                                                 2
15168                                                                 2
15169                                                                 2
06099                                                                 1
15160                                                                 2
15161                                                                 2
15162                                                                 2
15163                                                                 2
15164                                                                 2
15165                                                                 2
15166                                                                 2
15167                                                                 2
shape                                                                 34
mateescu                                                              1
unesco                                                                1
alternative                                                           12
cut                                                                   35
aspectj                                                               1
source                                                                248
hyperlinks                                                            2
16839                                                                 2
22542                                                                 2
cui                                                                   1
06093                                                                 1
3826                                                                  1
06094                                                                 1
06095                                                                 1
ldagibbs                                                              1
06096                                                                 1
03121                                                                 1
blech                                                                 11
katie                                                                 1
irretrievable                                                         1
retake                                                                14
austria                                                               8
boolean                                                               69
positionlist                                                          2
valleys                                                               1
3824                                                                  4
collectors                                                            1
metabolic                                                             1
absolutely                                                            2
foocorp                                                               7
delegation                                                            2
4208                                                                  4
4209                                                                  7
4202                                                                  4
4203                                                                  5
sizeof                                                                1
4201                                                                  4
4206                                                                  2
4207                                                                  3
4204                                                                  1
4205                                                                  2
capitalization                                                        2
enlightened                                                           1
decision                                                              26
though                                                                46
centroid                                                              1
5874520156                                                            1
4399207                                                               1
quadtrees                                                             5
intranets                                                             2
rohan                                                                 1
24866                                                                 2
entitiy                                                               1
0828                                                                  1
brakke                                                                1
tiff                                                                  12
satisfactory                                                          3
23406                                                                 2
23407                                                                 2
23404                                                                 2
23405                                                                 2
23402                                                                 2
23403                                                                 2
23400                                                                 2
23401                                                                 2
23408                                                                 2
23409                                                                 2
interacted                                                            1
navneet                                                               1
translate                                                             34
conseil                                                               1
invite                                                                1
mykletun                                                              9
murphy                                                                1
cryptanalysis                                                         2
inchang                                                               1
20061                                                                 2
torsten                                                               2
customerresultsmenu                                                   2
zhr                                                                   1
6118                                                                  7
6119                                                                  3
6114                                                                  4
6115                                                                  3
6116                                                                  2
6117                                                                  4
6110                                                                  2
6111                                                                  3
6112                                                                  5
6113                                                                  7
planet                                                                1
planes                                                                2
7283                                                                  3
7282                                                                  2
7281                                                                  3
7280                                                                  2
constant                                                              44
7286                                                                  3
7285                                                                  4
7284                                                                  4
7289                                                                  5
7288                                                                  4
organizational                                                        20
cafe                                                                  1
dt03                                                                  2
divine                                                                1
458k                                                                  1
458d                                                                  1
composing                                                             1
reputation                                                            3
ellen                                                                 1
004489                                                                1
tsp3                                                                  396
tsp2                                                                  3
latex                                                                 10
22275                                                                 2
rossum                                                                2
24203                                                                 2
restoration                                                           2
cater                                                                 1
27k                                                                   9
728k                                                                  1
sudoku                                                                3
implies                                                               6
20boobo8boo12bo3bo5bobo5bo3bo68bo3bo5bobo5bo                          1
monik                                                                 1
implied                                                               7
4589                                                                  3
presenting                                                            9
4585                                                                  1
4587                                                                  4
4586                                                                  6
4581                                                                  4
03957                                                                 1
4583                                                                  1
4582                                                                  5
oemolbase                                                             26
05466                                                                 1
05468                                                                 1
0110054                                                               1
27m                                                                   1
amplified                                                             1
compose                                                               1
vietnamese                                                            34
literary                                                              1
bannockburn                                                           1
pleasing                                                              1
jakob                                                                 2
11183                                                                 2
11180                                                                 2
11181                                                                 2
14354                                                                 2
11187                                                                 2
14356                                                                 2
11185                                                                 2
14358                                                                 2
14359                                                                 2
11188                                                                 2
11189                                                                 4
915                                                                   10
17919                                                                 2
914                                                                   8
17917                                                                 3
17916                                                                 2
17915                                                                 2
17914                                                                 2
17913                                                                 2
917                                                                   7
17911                                                                 2
700427801974                                                          1
pinelli                                                               5
entire                                                                44
916                                                                   8
succeed                                                               11
9542                                                                  5
18158                                                                 2
02605                                                                 1
9540                                                                  2
02603                                                                 1
912                                                                   6
pkg                                                                   25
006273                                                                1
stat240                                                               4
12987                                                                 2
12986                                                                 2
12985                                                                 2
12984                                                                 2
12983                                                                 2
12982                                                                 2
04735                                                                 3
12980                                                                 2
18150                                                                 2
12989                                                                 2
12988                                                                 2
ddsp                                                                  1
edison                                                                1
18151                                                                 2
18156                                                                 2
assisted                                                              65
docx                                                                  12
18157                                                                 2
access                                                                306
18154                                                                 2
100pts                                                                1
18155                                                                 2
770k                                                                  1
6932                                                                  4
15402                                                                 2
15401                                                                 2
6931                                                                  3
6936                                                                  3
15406                                                                 2
6934                                                                  7
6935                                                                  6
8127                                                                  6
8126                                                                  7
6938                                                                  5
6939                                                                  3
8123                                                                  4
8122                                                                  4
8121                                                                  6
8120                                                                  2
7706                                                                  6
7707                                                                  3
7704                                                                  8
7705                                                                  6
7702                                                                  8
7703                                                                  6
7700                                                                  2
7701                                                                  5
conformity                                                            1
001135                                                                1
7708                                                                  5
7709                                                                  4
implement                                                             51
honor                                                                 86
composed                                                              2
19188                                                                 2
decentralized                                                         2
19182                                                                 2
19183                                                                 2
19180                                                                 2
19181                                                                 2
19186                                                                 2
19187                                                                 2
19184                                                                 2
19185                                                                 2
decentralizes                                                         1
composes                                                              1
cccoc1ccccc1                                                          1
che                                                                   1
chi                                                                   20
readable                                                              19
cho                                                                   19
chp                                                                   6
chu                                                                   12
butler                                                                1
581606                                                                1
005729                                                                1
engender                                                              1
respondents                                                           2
424065                                                                2
008716                                                                1
prizes                                                                1
09377                                                                 1
008718                                                                1
fan                                                                   1
13768                                                                 2
0809                                                                  1
13764                                                                 2
13765                                                                 2
13766                                                                 3
13767                                                                 2
13760                                                                 2
13761                                                                 2
13762                                                                 2
13763                                                                 2
5797                                                                  2
5796                                                                  4
ch2                                                                   155
ch3                                                                   91
5793                                                                  7
5792                                                                  5
5791                                                                  3
5790                                                                  2
dietzfelbinger                                                        1
ch9                                                                   1
04929                                                                 1
fetch                                                                 11
5799                                                                  4
